Cidade,Sexo,cor_da_pele,Idade,Escala_1,Escala_2,Escala_5,Escala_8,Escala_10,Escala_11
Canindé,feminino,Pardo,17.0,2,2.0625,1,3.00,1,2.8
Canindé,masculino,Pardo,17.0,2.66667,1.4375,1,2.50,1.66667,3.0
Canindé,feminino,Preto,17.0,2.33333,3.1875,1.42857,3.75,3.83333,2.8
Canindé,masculino,Pardo,17.0,2.22222,2.2500,1.14286,2.50,1.33333,4.6
Canindé,feminino,Pardo,17.0,2.11111,2.3125,1,4.00,1.83333,3.8
Canindé,masculino,Pardo,17.0,1.66667,1.9375,1.14286,2.75,2.16667,4.4
Aracaju,masculino,Pardo,17.0,2.77778,2.8125,1.14286,2.00,3.33333,4.0
Aracaju,feminino,,17.0,,2.6250,,,,
Aracaju,feminino,Preto,17.0,,2.2500,1.42857,2.25,,
Aracaju,feminino,Branco,17.0,2.44444,,1.42857,3.75,,5.0
Aracaju,feminino,Branco,17.0,2.77778,2.1875,1,2.50,1.83333,3.6
Aracaju,masculino,Pardo,17.0,2.22222,,,4.25,2,3.8
Aracaju,masculino,Pardo,17.0,2.66667,,1,2.50,4.66667,
Aracaju,masculino,Branco,17.0,2.66667,2.5625,1,4.75,1.33333,3.0
Aracaju,feminino,Pardo,17.0,2.55556,2.0625,1.28571,3.00,2.33333,3.2
Aracaju,masculino,Pardo,17.0,2.44444,,2.28571,3.25,3.83333,3.6
Aracaju,masculino,Branco,17.0,2.44444,2.5625,1.57143,5.00,2.83333,2.0
Aracaju,feminino,Branco,17.0,1.88889,2.6250,1.28571,5.00,2.33333,3.4
Aracaju,masculino,Preto,17.0,2.33333,2.8750,2.14286,2.75,2.66667,5.0
Aracaju,masculino,Pardo,17.0,,2.1250,1.85714,1.00,2.66667,5.0
Aracaju,feminino,Pardo,17.0,2,1.9375,3.57143,3.75,2.33333,4.2
Aracaju,masculino,Branco,17.0,2.77778,2.9375,1.57143,3.00,1.5,3.2
Aracaju,feminino,Branco,17.0,2.88889,1.8125,1.28571,2.50,1.16667,3.2
Aracaju,masculino,Branco,17.0,1.77778,2.3125,1.14286,2.00,1.16667,3.0
Aracaju,feminino,Pardo,17.0,2.33333,2.1250,2.14286,2.25,,
Aracaju,feminino,Preto,17.0,,1.6875,1.28571,2.50,1.66667,3.4
Aracaju,feminino,,17.0,3,2.3125,1.28571,1.50,1,4.2
Aracaju,masculino,Pardo,17.0,3,2.1875,1.14286,2.00,2,2.0
Aracaju,feminino,Pardo,17.0,2.33333,2.1250,1.57143,4.00,2.66667,3.4
Aracaju,feminino,Preto,17.0,,2.3125,1.28571,4.25,2.33333,2.2
Aracaju,feminino,Preto,17.0,2.11111,3.4375,1.42857,4.00,2.16667,
Aracaju,feminino,Branco,17.0,1.77778,,1.42857,5.00,1,1.8
Estância,feminino,Pardo,16.0,2.44444,2.0625,1,4.00,1.66667,2.6
Estância,feminino,Preto,16.0,1.33333,1.6875,1,4.00,1,4.0
Estância,feminino,Preto,16.0,2.22222,1.5000,1,5.00,1,4.8
Estância,feminino,Preto,16.0,2.55556,1.4375,1.57143,3.50,2.83333,4.2
Estância,feminino,Pardo,16.0,2.88889,2.2500,2.14286,2.00,1.16667,3.4
Estância,masculino,Branco,16.0,1.44444,1.8750,1.28571,4.75,1.33333,4.4
Estância,feminino,Preto,16.0,3.33333,2.3750,2.71429,3.00,,2.8
Estância,feminino,Preto,16.0,1.22222,1.5625,1,5.00,1,4.2
Estância,feminino,Pardo,16.0,2.11111,3.0625,2.57143,3.75,2.66667,
Estância,feminino,Pardo,16.0,1.77778,1.6875,1.14286,4.00,1.33333,3.6
Estância,feminino,Pardo,16.0,2.22222,1.6250,1.14286,4.00,2.33333,3.4
Estância,feminino,Preto,16.0,2,2.1875,2,4.00,2.33333,4.0
Estância,masculino,Preto,16.0,2,,1.14286,2.50,2.5,2.6
Estância,masculino,Pardo,16.0,2.44444,1.5625,1.14286,3.75,1.83333,4.2
Estância,masculino,Pardo,16.0,3.44444,2.4375,1.28571,5.00,3.66667,4.2
Estância,masculino,Pardo,16.0,3,2.5625,2.14286,4.00,1.66667,3.4
Estância,masculino,Pardo,16.0,3.22222,2.5625,1.28571,3.75,4.5,3.0
Estância,masculino,Pardo,16.0,2,1.8125,1.57143,3.00,1.16667,2.8
Estância,masculino,Pardo,16.0,2.44444,2.2500,1,4.50,1.83333,4.6
Estância,feminino,Preto,16.0,1.66667,1.7500,1,2.00,1,4.6
Estância,feminino,Pardo,16.0,3.33333,,2.14286,1.25,2.33333,5.0
Estância,feminino,Pardo,16.0,3,1.5000,1.14286,3.75,2.16667,2.4
